机场名称,城市,ICAO代码,IATA代码,纬度,经度,机场等级
北京首都,北京,ZBAA,PEK,40.0799,116.6031,枢纽
北京大兴,北京,ZBAD,PKX,39.5098,116.4105,枢纽
上海虹桥,上海,ZSSS,SHA,31.1979,121.3363,枢纽
上海浦东,上海,ZSPD,PVG,31.1434,121.8052,枢纽
广州白云,广州,ZGGG,CAN,23.3924,113.2988,枢纽
深圳宝安,深圳,ZGSZ,SZX,22.6394,113.8147,枢纽
成都天府,成都,ZUTF,TFU,30.3190,104.4410,枢纽
成都双流,成都,ZUUU,CTU,30.5785,103.9470,枢纽
重庆江北,重庆,ZUCK,CKG,29.7192,106.6417,枢纽
西安咸阳,西安,ZLXY,XIY,34.4471,108.7516,枢纽
昆明长水,昆明,ZPPP,KMG,25.1019,102.9291,枢纽
杭州萧山,杭州,ZSHC,HGH,30.2295,120.4344,普通
南京禄口,南京,ZSNJ,NKG,31.7420,118.8620,普通
武汉天河,武汉,ZHHH,WUH,30.7838,114.2081,普通
长沙黄花,长沙,ZGHA,CSX,28.1892,113.2198,普通
厦门高崎,厦门,ZSAM,XMN,24.5440,118.1277,普通
青岛胶东,青岛,ZSQD,TAO,36.3619,120.0890,普通
乌鲁木齐地窝堡,乌鲁木齐,ZWWW,URC,43.9071,87.4742,普通
哈尔滨太平,哈尔滨,ZYHB,HRB,45.6234,126.2503,普通
海口美兰,海口,ZJHK,HAK,19.9349,110.4590,普通
