航线,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,"2024年深航共拥有波音737系列,空客A319,A320,A330系列各类型客机超200架",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
国内出发,,,国际出发,,,空客系列,公务舱,舒适经济舱,经济舱,座位总数,平均机龄,图片
始发地,目的地,航距（公里）,始发地,目的地,航距（公里）,机型：A330,18座,24座,267座,309座,5年,"=DISPIMG(""ID_88343D7CFFDE4F66B67FA783CC009CE4"",1)"
北京,泉州,1732,大阪,无锡,1433,机型：A320,8座,18座,126座,152座,4年,"=DISPIMG(""ID_5EB051F2CF4B4939B76220BDEFFF73F9"",1)"
北京,南宁,2250,东京成田,深圳,2917,,,,,,,
北京,南通,1080,河内,深圳,849,波音系列,公务舱,舒适经济舱,经济舱,座位总数,平均机龄,图片
北京,深圳,2077,吉隆坡,深圳,2568,机型：737-800,8座,18座,140座,156座,6年,"=DISPIMG(""ID_133CB1F49A614847BEF67D70D0AC98CF"",1)"
北京,成都天府,1697,null（金边）,深圳,1556,,,,,,,
北京,无锡,1120,伦敦,深圳,9585,,,,,,,
北京,襄阳,1050,曼谷,深圳,1702,,,,,,,
北京,宜春,1504,普吉岛,深圳,2314,,,,,,,
巴中,深圳,1890,首尔,深圳,2061,,,,,,,
成都天府,广州,1390,新加坡,深圳,2589,,,,,,,
成都天府,合肥,1392,,,,,,,,,,
成都天府,泉州,1770,,,,,,,,,,
成都天府,南昌,1240,,,,,,,,,,
成都天府,丽江,734,,,,,,,,,,
成都天府,南京,1618,,,,,,,,,,
成都天府,南宁,1014,,,,,,,,,,
成都天府,南通,1870,,,,, ,,,,,
成都天府,北京首都,1697,,,,,,,,,,
成都天府,深圳,1446,,,,,,,,,,
成都天府,太原,1173,,,,,,,,,,
成都天府,无锡,1730,,,,,,,,,,
成都天府,烟台,1882,,,,,,,,,,
重庆,南昌,970,,,,,,,,,,
重庆,南京,1305,,,,,,,,,,
重庆,南宁,858,,,,,,,,,,
重庆,南通,1450,,,,,,,,,,
重庆,深圳,1290,,,,,,,,,,
重庆,无锡,1375,,,,,,,,,,
常州,广州,1434,,,,,,,,,,
常州,长春,1588,,,,,,,,,,
常州,大连,898,,,,,,,,,,
常州,海口,1900,,,,,,,,,,
常州,哈尔滨,1760,,,,,,,,,,
常州,泉州,955,,,,,,,,,,
常州,南宁,1600,,,,,,,,,,
常州,沈阳,1326,,,,,,,,,,
常州,深圳,1520,,,,,,,,,,
常州,珠海,1462,,,,,,,,,,
长春,常州,1588,,,,,,,,,,
长春,南昌,2077,,,,,,,,,,
长春,临沂,1350,,,,,,,,,,
长春,南京,1533,,,,,,,,,,
长春,深圳,2983,,,,,,,,,,
长春,烟台,895,,,,,,,,,,
长春,扬州泰州,1528,,,,,,,,,,
长沙,烟台,1437,,,,,,,,,,
成都双流,深圳,1446,,,,,,,,,,
池州,深圳,1071,,,,,,,,,,
大连,郑州,988,,,,,,,,,,
大连,常州,898,,,,,,,,,,
大连,合肥,1045,,,,,,,,,,
大连,南昌,1437,,,,,,,,,,
大连,南通,972,,,,,,,,,,
大连,扬州泰州,829,,,,,,,,,,
福州,郑州,1192,,,,,,,,,,
福州,南宁,1455,,,,,,,,,,
广州,郑州,1389,,,,,,,,,,
广州,常州,1434,,,,,,,,,,
广州,海口,548,,,,,,,,,,
广州,合肥,1105,,,,,,,,,,
