起飞地点,降落地点,经停地点,机型,波音737,Unnamed: 15
阿克苏,青岛,西安,,,
阿克苏,西安,无,"B737-8（7M8）







","=DISPIMG(""ID_B37FA7033B094BA789FD2E9FFF277C6E"",1)",
北京,福州,无,,,
北京,福州,无,B737-700,"=DISPIMG(""ID_DB74EA17BED44A55B23C8CB9B47C1F8E"",1)",
北京,福州,无,,,
北京,福州,无,B737-800,"=DISPIMG(""ID_56EDA91B9AAB429690E90FD20B57B80B"",1)",
北京,青岛,无,,,
北京,厦门,无,,,
北京,烟台,无,,,
北京,珠海,无,,,
常州,贵阳,无,,,
常州,青岛,无,,,
成都,济南,无,,,
成都,青岛,无,,,
大阪,济南,无,,,
大阪,青岛,无,,,2.0
大连,贵阳,济南,,,
大连,杭州,无,,,
大连,济南,无,,,
大连,建三江,无,,,
大连,青岛,无,,,
大连,厦门,杭州,,,
大连,厦门,济南,,,
大连,重庆,青岛,,,
大连,重庆,济南,,,
大连,珠海,济南,,,
东营,厦门,无,,,
东营,沈阳,无,,,
福州,北京,无,,,
福州,桂林,无,,,
福州,济南,无,,,
福州,青岛,无,,,
福州,乌鲁木齐,济南,,,
福州,珠海,无,,,
广州,济南,无,,,
广州,青岛,武夷山,,,
广州,青岛,无,,,
广州,武夷山,无,,,
广州,烟台,无,,,
贵阳,常州,无,,,
贵阳,大连,济南,,,
贵阳,合肥,无,,,
贵阳,济南,无,,,
贵阳,青岛,常州,,,
贵阳,青岛,无,,,
贵阳,青岛,西安,,,
贵阳,青岛,十堰,,,
贵阳,青岛,合肥,,,
贵阳,厦门,无,,,
贵阳,沈阳,太原,,,
贵阳,沈阳,济南,,,
贵阳,十堰,无,,,
贵阳,太原,无,,,
贵阳,西安,无,,,
贵阳,长春,济南,,,
桂林,福州,无,,,
桂林,海口,无,,,
桂林,杭州,无,,,
桂林,合肥,无,,,
桂林,济南,无,,,
桂林,南京,无,,,
桂林,青岛,合肥,,,
桂林,青岛,杭州,,,
桂林,厦门,无,,,
桂林,烟台,南京,,,
桂林,郑州,无,,,
哈尔滨,济南,无,,,
哈尔滨,南宁,济南,,,
哈尔滨,青岛,无,,,
哈尔滨,厦门,济南,,,
哈尔滨,成都天府,济南,,,
哈尔滨,重庆,济南,,,
海口,桂林,无,,,
海口,济南,桂林,,,
海口,济南,无,,,
海口,宁波,无,,,
海口,青岛,宁波,,,
杭州,大连,无,,,
杭州,桂林,无,,,
杭州,青岛,无,,,
杭州,厦门,无,,,
杭州,太原,无,,,
杭州,乌鲁木齐,青岛,,,
杭州,乌鲁木齐,太原,,,
杭州,乌鲁木齐,无,,,
杭州,烟台,无,,,
杭州,珠海,无,,,
合肥,贵阳,无,,,
合肥,桂林,无,,,
合肥,青岛,无,,,
河内,济南,无,,,
河内,青岛,无,,,
上海虹桥,济南,无,,,
上海虹桥,青岛,无,,,
上海虹桥,厦门,无,,,
上海虹桥,烟台,无,,,
上海虹桥,珠海,无,,,
呼和浩特,济南,无,,,
呼和浩特,济南,无,,,
呼和浩特,青岛,无,,,
呼和浩特,厦门,济南,,,
胡志明,济南,无,,,
胡志明,青岛,无,,,
吉隆坡,济南,无,,,
济南,成都,无,,,
济南,大阪,无,,,
济南,大连,无,,,
济南,福州,无,,,
济南,广州,无,,,
济南,贵阳,无,,,
济南,桂林,无,,,
济南,哈尔滨,无,,,
济南,海口,桂林,,,
济南,河内,无,,,
济南,上海虹桥,无,,,
济南,呼和浩特,无,,,
济南,胡志明,无,,,
济南,吉隆坡,无,,,
济南,喀什,无,,,
济南,库尔勒,西安,,,
济南,昆明,无,,,
济南,兰州,无,,,
济南,丽江,绵阳,,,
济南,曼谷,无,,,
济南,绵阳,无,,,
济南,南昌,无,,,
济南,南宁,无,,,
济南,南宁,武汉,,,
济南,上海浦东,无,,,
济南,泉州,舟山,,,
济南,三亚,无,,,
济南,厦门,无,,,
济南,深圳,武夷山,,,
济南,深圳,无,,,
济南,沈阳,无,,,
济南,首尔,无,,,
济南,成都天府,无,,,
济南,威海,无,,,
济南,温州,无,,,
济南,乌鲁木齐,兰州,,,
济南,乌鲁木齐,银川,,,
济南,乌鲁木齐,无,,,
济南,武汉,无,,,
济南,西安,无,,,
济南,武夷山,无,,,
济南,西宁,银川,,,
济南,香港,无,,,
济南,新加坡,无,,,
济南,银川,无,,,
济南,张家界,无,,,
济南,长春,无,,,
济南,长沙,无,,,
济南,重庆,无,,,
济南,舟山,无,,,
济南,珠海,温州,,,
济南,珠海,无,,,
济南,珠海,南昌,,,
建三江,大连,无,,,
建三江,青岛,大连,,,
喀什,济南,无,,,
喀什,乌鲁木齐,无,,,
库尔勒,济南,西安,,,
库尔勒,厦门,郑州,,,
库尔勒,西安,无,,,
库尔勒,郑州,无,,,
昆明,济南,无,,,
昆明,南京,无,,,
昆明,青岛,南京,,,
昆明,青岛,无,,,
昆明,厦门,无,,,
昆明,厦门,无,,,
兰州,济南,无,,,
兰州,青岛,无,,,
兰州,厦门,太原,,,
兰州,厦门,郑州,,,
兰州,太原,无,,,
兰州,乌鲁木齐,无,,,
兰州,郑州,无,,,
丽江,济南,绵阳,,,
丽江,绵阳,无,,,
陇南,青岛,西安,,,
陇南,西安,无,,,
曼谷,济南,无,,,
曼谷,青岛,无,,,
绵阳,济南,无,,,
绵阳,丽江,无,,,
南昌,济南,无,,,
南昌,青岛,无,,,
南昌,珠海,无,,,
南京,桂林,无,,,
南京,昆明,无,,,
南京,青岛,无,,,
南京,厦门,无,,,
南京,乌鲁木齐,无,,,
南京,烟台,无,,,
南京,重庆,无,,,
南宁,哈尔滨,济南,,,
南宁,济南,武汉,,,
南宁,济南,无,,,
南宁,青岛,衢州,,,
南宁,衢州,无,,,
南宁,武汉,无,,,
宁波,海口,无,,,
宁波,青岛,无,,,
宁波,沈阳,青岛,,,
宁波,乌鲁木齐,郑州,,,
宁波,郑州,无,,,
上海浦东,济南,无,,,
上海浦东,青岛,无,,,
上海浦东,厦门,无,,,
青岛,阿克苏,西安,,,
青岛,北京,无,,,
青岛,常州,无,,,
青岛,成都,无,,,
青岛,大阪,无,,,
青岛,大连,无,,,
青岛,福州,无,,,
青岛,广州,武夷山,,,
青岛,广州,无,,,
青岛,贵阳,西安,,,
青岛,贵阳,无,,,
青岛,贵阳,常州,,,
青岛,贵阳,合肥,,,
青岛,贵阳,十堰,,,
青岛,桂林,合肥,,,
青岛,桂林,杭州,,,
青岛,哈尔滨,无,,,
青岛,海口,宁波,,,
青岛,杭州,无,,,
