航线（国内）,Unnamed: 1,Unnamed: 2,Unnamed: 3,航线（国际）,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
始发地,目的地,里程数,,始发地,目的地,里程数,,,
加格达奇区,大连,1284,,延吉,首尔,652,,,
,哈尔滨,550,,北京,首尔,901,,,
黑河市,哈尔滨,510,,,东京都,2099,,,
海拉尔区,无锡,1968,,,登巴萨,5364,,,
,上海,2013,,,新加坡,4422,,,
满洲里市,上海,2081,,,吉隆坡,4347,,,
齐齐哈尔市,大连,583,,,曼谷,3252,,,
,济南,1278,,,马斯喀特,5679,,,
,青岛,1249,,,莫斯科,5827,,,
,上海,1798,,西安,莫斯科,5773,,,
伊春市,大连,1146,,,维也纳,7380,,,
,青岛,908,,,米兰,8035,,,
,上海,1944,,,伊斯坦布尔,6809,,,
乌兰浩特市,武汉,1839,,,塔什干,3513,,,
大庆市,青岛,1226,,,富国岛,2741,,,
,上海,1757,,,新加坡,3710,,,
佳木斯市,北京,1397,,,上海,1228,上海,首尔,864.0
,济南,1556,,上海,纽约,11867,,,
,烟台,1283,,,多伦多,11409,,,
,青岛,1445,,,温哥华,9011,,,
,上海,1894,,,旧金山,9870,,,
哈尔滨,兰州,2139,,,洛杉矶,10409,,,
,太原,1426,,,奥克兰,9363,,,
,北京,1051,,,布里斯班,7302,,,
,西安,1931,,,悉尼,7860,,,
,成都,2543,,,墨尔本,8013,,,
,昆明,3085,,,阿德莱德,7549,,,
,济南,1230,,,登巴萨,4488,,,
,武汉,1951,,,雅加达,4443,,,
,长沙,2250,,,新加坡,3803,,,
,合肥,1711,,,胡志明市,2744,,,
,青岛,1151,,,富国岛,2966,,,
,烟台,987,,,金边,2800,,,
,上海,1658,,,曼谷,2894,,,
,宁波,1804,,,万象,2425,,,
,黑河,510,,,清迈,2672,,,
长春,兰州,2039,,,科伦坡,5095,,,
,太原,1296,,,马累,5856,,,
,北京,914,,,新德里,4289,,,
,西安,1796,,,阿布扎比,6545,,,
,成都,2406,,,迪拜,6444,,,
,郑州,1461,,,利雅得,7258,,,
,济南,1067,,,开罗,8364,,,
,烟台,806,,,塔什干,4767,,,
,青岛,970,,,第比利斯,6746,,,
,威海,810,,,阿拉木图,4130,,,
,南京,1485,,,伊斯坦布尔,8016,,,
,上海,1471,,,罗马,9165,,,
延吉,上海,1468,,,威尼斯,8919,,,
,青岛,1078,,,巴塞罗那,9859,,,
,烟台,922,,,米兰,9139,,,
白山市,北京,982,,,马德里,10263,,,
,烟台,747,,,日内瓦,9257,,,
,上海,1318,,,喀山,6125,,,
沈阳,银川,1498,,,苏黎世,9027,,,
,兰州,1801,,,美英河畔法兰克福,8853,,,
,西安,1513,,,巴黎,9262,,,
,昆明,2634,,,阿姆斯特丹,8906,,,
,武汉,1463,,,哥本哈根,8272,,,
,青岛,655,,,伦敦,9247,,,
,合肥,1217,,,圣彼得堡,7133,,,
,南昌,1576,,,莫斯科,6846,,,
,广州,2237,,,斯德哥尔摩,7776,,,
,淮安,951,,,都白林,9358,,,
,南京,1173,,,首尔,821,,,
,盐城,956,,,清州市,811,,,
,无锡,1159,,,大邱广域市,824,,,
