航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
北京,海拉尔区,1044,北京,斯德哥尔摩,6687
,沈阳,604,,伦敦,8148
,延吉,1114,,莫斯科,5792
,东宁,1267,,明斯克,6434
,长春,867,,哥本哈根,7191
,佳木斯,1345,,布鲁塞尔,7941
,通辽,604,,巴黎,8184
,哈尔滨,998,,马德里,9199
,大庆,1011,,美茵河畔法兰克福,7783
,齐齐哈尔,988,,巴塞罗那,8808
,乌兰浩特,808,,日内瓦,8195
,大连,441,,罗马,8143
,威海,586,,米兰,8087
,烟台,465,,雅典,7603
,青岛,513,,伊斯坦布尔,7055
,阜阳,803,,布加勒斯特,7049
,南昌,1247,,布达佩斯,7324
,合肥,900,,维也纳,7446
,汕头,1836,,威尼斯,7878
,景德镇,1194,,慕尼黑,7717
,上饶,1305,,华沙,6939
,福州,1596,,开罗,7529
,台北,1722,,利雅得,6592
,黄山,1159,,卡拉奇,4860
,衢州,1252,,迪拜市,5842
,南京,948,,阿布扎比,5951
,连云港,669,,新德里,3806
,盐城,806,,伊斯兰堡,3920
,扬州,880,,阿拉木图,3269
,温州,1407,,比什凯克,3479
,台州,1353,,塔什干,3940
,宁波,1221,,阿斯塔纳,3650
,上海,1098,,伊尔库茨克,1643
,南通,972,,达卡,3038
,嘉兴,1106,,仰光,3241
,常州,951,,雅加达,5234
,杭州,1147,,新加坡,4487
,义乌,1233,,吉隆坡,4410
,丽水,1334,,胡志明市,3396
,惠州,1901,,金边,3391
,赣州,1590,,普吉市,3988
,吉安,1479,,曼谷,3314
,武汉,1054,,马尼拉,2874
,长沙,1355,,清迈,2905
,衡阳,1529,,河内市,2330
,香港,1991,,济州市,1143
,深圳,1955,,东京都,2091
,珠海,2031,,大阪,1761
,广州,1880,,釜山广域市,1215
,海口,2313,,首尔,901
,三亚,2515,,平壤,782
,湛江,2142,,海参崴,1339
,北海,2173,,温哥华,8488
,南宁,2097,,旧金山,9487
,柳州,1886,,洛杉矶,10031
,桂林,1759,,多伦多,10554
,邵阳,1572,,纽约,10973
,南宁,2097,,华盛顿,11106
,张家界,1341,,奥克兰,10421
,宜昌,1154,,悉尼,8959
,郑州,663,,墨尔本,9107
,长治,521,乌鲁木齐,塔什干,1513
,十堰,974,,第比利斯,3438
,贵阳,1754,,莫斯科,3726
,六盘水,1839,西安,阿斯塔纳,3502
,遵义,1654,,明克斯,6405
,景洪,2504,呼和浩特,乌兰巴托,853
,昆明,2092,上海,巴塞罗那,9859
,重庆,1463,,米兰,9139
,达州,1299,,慕尼黑,8773
,运城,735,,美茵河畔法兰克福,8853
,临汾,615,,伦敦,9247
,太原,428,,新加坡,3803
,大理,2200,,曼谷,2894
,攀枝花,2031,,河内市,1934
,丽江,2118,,东京都,1794
,泸州,1592,,大阪,1305
,宜宾,1662,成都,伦敦,8349
,西昌,1883,,米兰,8056
,成都,1543,,美茵河畔法兰克福,7860
,绵阳,1434,,巴黎,8299
,汉中,1136,,布鲁塞尔,8077
,广元,1296,,阿拉木图,2815
,西安,932,,科伦坡,3626
,吕梁,541,,雅加达,4056
,延安,737,,新加坡,3219
,九寨沟县,1402,,吉隆坡,3077
,林芝,2348,,普吉市,2548
,城关区,2620,,曼谷,1886
,榆林,631,,马尼拉,2440
,鄂尔多斯市,576,,首尔,2173
,呼和浩特,410,重庆,布达佩斯,7437
,巴彦淖尔,752,,迪拜市,5039
,银川,898,,新加坡,3164
,兰州,1196,,胡志明市,2100
,西宁,1326,,马尼拉,2242
,敦煌,1844,,东京都,3207
,和田,3185,,首尔,2020
,喀什,3433,杭州,普吉市,3367
,哈密,1926,,曼谷,2728
,乌鲁木齐,2429,,东京都,1954
,阿克苏,3038,,大阪,1465
,伊宁,2919,,首尔,977
,克拉玛依,2630,深圳,美音河判法兰克福,9112
,阿勒泰区,2419,,约翰内斯堡,10675
,乌兰巴托,1146,,洛杉矶,11639
,锡林浩特,428,,,
乌鲁木齐,喀什,1065,,,
,天津,2527,,,
,运城,2232,,,
,西宁,1479,,,
,广州,3275,,,
,重庆,2311,,,
,成都,2123,,,
,阿克苏,657,,,
青岛,成都,1596,,,
,武汉,824,,,
郑州,成都,996,,,
西安,呼和浩特,760,,,
,上海,1271,,,
,天津,924,,,
,杭州,1191,,,
郑州,成都,996,,,
呼和浩特,海拉尔区,1118,,,
,阿尔山,964,,,
,赤峰,600,,,
,沈阳,977,,,
,长春,1188,,,
,通辽,904,,,
,乌兰浩特,1011,,,
,锡林浩特,480,,,
,大连,853,,,
,天津,507,,,
,石家庄,377,,,
,上海,1400,,,
,杭州,1411,,,
,武汉,1138,,,
,宜昌,1144,,,
,广州,1944,,,
,海口,2327,,,
,贵阳,1656,,,
,重庆,1321,,,
,西安,760,,,
,成都,1345,,,
,银川,542,,,
天津,哈尔滨,1025,,,
,长春,879,,,
,通话,777,,,
,上海,974,,,
,杭州,1027,,,
,温州,1286,,,
,厦门,1621,,,
,香港,1896,,,
,深圳,1862,,,
,珠海,1939,,,
,广州,1790,,,
,武汉,969,,,
,长沙,1273,,,
,海口,2232,,,
,南宁,2029,,,
,桂林,1690,,,
,贵阳,1708,,,
,昆明,2060,,,
,重庆,1431,,,
,成都,1529,,,
,西安,924,,,
,兰州,1238,,,
,西宁,1371,,,
,太原,438,,,
,银川,953,,,
,鄂尔多斯,644,,,
,呼和浩特,507,,,
大连,东宁,982,,,
,呼和浩特,853,,,
,上海,869,,,
,杭州,975,,,
,香港,1988,,,
,海口,2366,,,
,武汉,1127,,,
,十堰,1189,,,
,重庆,1706,,,
,成都,1851,,,
,济南,444,,,
上海,温州,370,,,
,台北,676,,,
,佳木斯,1894,,,
,长春,1468,,,
,哈尔滨,1654,,,
,大庆,1757,,,
,沈阳,1175,,,
,大连,869,,,
,银川,1614,,,
,兰州,1778,,,
,西宁,1915,,,
,重庆,1460,,,
,成都,1659,,,
,桂林,1326,,,
,贵阳,1545,,,
,昆明,1963,,,
,丽江,2152,,,
,惠州,1146,,,
,深圳,1231,,,
,广州,1202,,,
,海口,1683,,,
,湛江,1547,,,
成都,西宁,724,,,
,南通,1582,,,
,常州,1468,,,
,南京,1381,,,
,合肥,1207,,,
,连云港,1455,,,
,临沂,1407,,,
,青岛,1596,,,
,烟台,1725,,,
,东营,1542,,,
,济南,1386,,,
,大连,1830,,,
,沈阳,2116,,,
,长春,2406,,,
,哈尔滨,2543,,,
,运城,814,,,
,石家庄,1289,,,
,太原,1117,,,
,鄂尔多斯,1131,,,
,银川,906,,,
,兰州,692,,,
,宁波,1635,,,
,杭州,1534,,,
,义乌,1505,,,
,衢州,1403,,,
,武汉,935,,,
,南昌,1118,,,
,温州,1613,,,
,武夷山,1347,,,
,张家界,594,,,
,长沙,882,,,
,台北,1749,,,
,福州,1568,,,
,泉州,1521,,,
,厦门,1492,,,
,山头,1410,,,
,惠州,1291,,,
,香港,1296,,,
,深圳,1262,,,
,广州,1165,,,
,珠海,1281,,,
,湛江,1157,,,
,海口,1302,,,
,三亚,1426,,,
,北海,1088,,,
,南宁,932,,,
,桂林,789,,,
,贵阳,478,,,
,昆明,597,,,
,景洪,996,,,
,大理,657,,,
,芒市,877,,,
,丽江,576,,,
,西昌,338,,,
,稻城县,436,,,
,林芝,980,,,
,城关区,1308,,,
,和田,2383,,,
,喀什,2770,,,
,红原,315,,,
,哈密,1688,,,
,乌鲁木齐,2123,,,
,克拉玛依,2387,,,
,库尔勒,2062,,,
,伊宁,2533,,,
,库车县,2303,,,
,阿克苏,2482,,,
重庆,兰州,805,,,
,银川,956,,,
,哈尔滨,2456,,,
,长春,2309,,,
,大连,1706,,,
,三亚,1299,,,
,海口,1152,,,
,湛江,996,,,
,香港,1096,,,
,深圳,1062,,,
,广州,964,,,
,珠海,1090,,,
,台北,1558,,,
,福州,1345,,,
,厦门,1271,,,
,温州,1397,,,
,武夷山,1128,,,
,南昌,901,,,
,宁波,1427,,,
,嘉兴,1349,,,
,杭州,1328,,,
,南京,1188,,,
,合肥,1017,,,
,武汉,735,,,
,亳州,977,,,
,大理,768,,,
,城关区,1521,,,
,和田,2604,,,
,喀什,2987,,,
,阿克苏,2691,,,
,乌鲁木齐,2311,,,
武汉,长春,1780,,,
,沈阳,1463,,,
,大连,1127,,,
,青岛,824,,,
,包头,1151,,,
,兰州,1167,,,
,西宁,1292,,,
,宁波,703,,,
,衢州,494,,,
,厦门,793,,,
,汕头,834,,,
,惠州,859,,,
,深圳,906,,,
,澳门,961,,,
,珠海,978,,,
,广州,826,,,
,海口,1262,,,
,贵阳,861,,,
,林芝,1915,,,
杭州,台北,578,,,
,长春,1598,,,
,哈尔滨,1783,,,
,海拉尔区,2110,,,
,威海,790,,,
,大连,975,,,
,烟台,826,,,
,鄂尔多斯,1408,,,
,运城,1032,,,
,银川,1569,,,
,兰州,1706,,,
,西宁,1841,,,
,贵阳,1392,,,
,昆明,1811,,,
,丽江,2008,,,
,汕头,837,,,
,香港,1093,,,
,深圳,1069,,,
,珠海,1152,,,
,广州,1036,,,
,海口,1519,,,
,湛江,1381,,,
,南宁,1484,,,
广州,温州,908,,,
,宁波,1080,,,
,运城,1320,,,
,万州区,953,,,
,达州,1028,,,
,广元,1247,,,
,泸州,999,,,
香港,大连,1988,,,
