航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
北京,白山,982,北京,伦敦,8192
,沈阳,641,,阿姆斯特丹,7865
,长春,914,,赫尔辛基,6346
,哈尔滨,1051,,莫斯科,5827
,大庆,1070,,伊斯坦布尔,7078
,黑河,1460,,阿拉木图,3277
,海拉尔区,1110,,比什凯克,3487
,阿勒泰,2438,,塔什干,3945
,乌鲁木齐,2437,,德黑兰,5647
,伊宁,2927,,杜尚别,4060
,库尔勒,2552,,多哈,6151
,阿克苏,3042,,达卡,2995
,喀什,3433,,东京都,2099
,银川,875,,首尔,901
,兰州,1167,青岛,首尔,578
,西宁,1299,郑州,吉隆坡,3747
,西安,880,,卢森堡市,8261
,成都,1503,,伦敦,8518
,芒市,2371,,首尔,1178
,南充,1341,武汉,迪拜,5741
,重庆,1405,,旧金山,10398
,昆明,2034,,伦敦,8867
,景洪,2448,,莫斯科,6415
,遵义,1550,,首尔,1347
,贵阳,1695,上海,东京都,1794
,文山,2105,,胡志明市,2744
,荆州,1085,,首尔,821
,常德,1255,长沙,内罗毕,8732
,桂林,1695,,新加坡,3138
,南宁,2033,,吉隆坡,3079
,武汉,990,,胡志明市,2047
,长沙,1291,,金边,2060
,合肥,837,,河内市,1075
,珠海,1965,,首尔,1606
,澳门,1947,广州,伦敦,9490
,香港,1925,,莫斯科,6999
,深圳,1891,,阿姆斯特丹,9135
,广州,1814,,美茵河畔法兰克福,9014
,韶关,1651,,巴黎,9452
,赣州,1524,,伊斯坦布尔,7878
,汕头,1773,,马德里,10369
,厦门,1670,,贝尔格莱德,8420
,福州,1539,,布达佩斯,8402
,温州,1352,,阿拉木图,3982
,宁波,1170,,比什凯克,4165
,上海,1098,,塔什干,4524
,上海,1049,,伊斯兰堡,4083
,杭州,1094,,拉合尔,3919
,义乌,1176,,加德满都,2836
,大连,444,,新德里,3647
青岛,大连,315,,迪拜,5824
,广州,1580,,多哈,6193
,贵阳,1662,,利雅得,6682
,哈尔滨,1151,,达卡,2329
,呼和浩特,872,,内罗毕,8674
,南宁,1910,,河内市,806
,上海,600,,万象,1267
,深圳,1640,,清迈,1571
,沈阳,655,,仰光,1928
,乌鲁木齐,2873,,芽庄市,1337
,武汉,824,,胡志明市,1564
,长春,970,,金边,1603
,长沙,1112,,曼谷,1704
郑州,成都,996,,新加坡,2646
,重庆,861,,吉隆坡,2610
,广州,1238,,槟城,2446
,海口,1654,,普吉市,2330
,杭州,781,,雅加达,3359
,昆明,1481,,亚庇,1962
,上海,832,,登巴萨,3578
,深圳,1320,,泗水,3420
,乌鲁木齐,2483,,珀斯,6156
,哈尔滨,1619,,马尼拉,1276
,长春,1461,,万鸦老,2731
,沈阳,1154,,达尔文,4414
,大连,843,,莫尔兹比港,5187
,宁波,885,,墨尔本,7545
,义乌,819,,阿德莱德,7007
,温州,990,,悉尼,7525
,台北,1267,,布里斯班,7076
,福州,1104,,克赖斯特彻奇,9572
,厦门,1183,,奥克兰,9296
,汕头,1246,,洛杉矶,11611
,珠海,1390,,温哥华,10197
,海口,1654,,纽约,12851
,湛江,1482,,多伦多,12434
, 三亚,1854,,东京都,2942
,桂林,1096,,大阪,2453
,南宁,1434,,首尔,2004
,贵阳,1112,深圳,莫斯科,7097
,昆明,1481,,利雅得,6756
,重庆,861,,河内市,838
,和田,3059,,迪拜市,5897
,喀什,3376,,曼谷,1698
,伊宁,2964,,雅加达,3289
,榆林,570,,新加坡,2591
,乌海,855,,吉隆坡,2565
,巴彦淖尔市,890,,首尔,2042
,鄂尔多斯市,655,,蒂华纳,11842
,包头,752,,墨西哥城,14122
,乌兰察布,737,,悉尼,7426
,锡林浩特,1059,乌鲁木齐,阿斯塔纳,1434
西安,大庆,1936,,莫斯科,3726
,成都,612,,美茵河畔法兰克福,5739
,大连,1242,,伊斯坦布尔,4711
,广州,1305,,阿拉木图,840
,哈尔滨,1931,,比什凯克,1051
,海口,1621,,塔什干,1513
,三亚,1794,,杜尚别,1664
,上海,1271,,奥什,1259
,深圳,1400,,萨马尔罕,1754
,沈阳,1513,,阿什哈巴德,2515
,乌鲁木齐,2103,,德黑兰,3217
,武汉,652,,巴库,3079
,长沙,813,,埃里温,3539
,南宁,1316,,伊斯兰堡,1709
,合肥,811,,利雅得,4231
,义乌,1204,,迪拜市,3558
,阿拉木图,2894,厦门,巴淡,3006
武汉,成都,935,,,
,重庆,735,,,
,广州,826,,,
,昆明,1271,,,
,上海,724,,,
,深圳,906,,,
,满洲里市,2103,,,
,乌兰浩特市,1839,,,
,海拉尔区,2100,,,
,哈尔滨,1951,,,
,长春,1780,,,
,沈阳,1463,,,
,大连,1127,,,
,天津,969,,,
,青岛,824,,,
,临沂,615,,,
,盐城,636,,,
,温州,718,,,
,宁波,703,,,
,杭州,599,,,
,台北,935,,,
,高雄,1096,,,
,厦门,793,,,
,汕头市,834,,,
,惠州,859,,,
,珠海,978,,,
,海口,1262,,,
,三亚,1468,,,
,北海,1138,,,
,南宁,1088,,,
,景洪,1656,,,
,贵阳,861,,,
,昆明,1271,,,
,林芝,1915,,,
,兰州,1167,,,
,西宁,1292,,,
,金昌,1382,,,
,张掖,1521,,,
,银川,1099,,,
,乌鲁木齐,2757,,,
,博乐,3180,,,
,喀什,3574,,,
,呼和浩特,1138,,,
成都,南京,1381,,,
,大连,1830,,,
,广州,1165,,,
,哈尔滨,2543,,,
,海口,1302,,,
,上海,1659,,,
,长春,2406,,,
,沈阳,2116,,,
,义乌,1505,,,
,长沙,882,,,
,汕头,1410,,,
,深圳,1262,,,
,珠海,1281,,,
,三亚,1426,,,
,南宁,932,,,
,喀什,2770,,,
,库尔勒,2062,,,
,伊宁,2533,,,
,乌鲁木齐,2123,,,
