航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
满洲里,青岛,1484,北京,多哈,6551
海拉尔区,杭州,2110,杭州,新加坡,3647
,南京,1942,,吉隆坡,3634
,上海,2005,,胡志明市,2585
哈尔滨,福州,2264,,大阪,1465
,杭州,1783,武汉,雅加达,4179
,济南,1230,重庆,马尼拉,2242
,连云港,1381,,大阪,2734
,南京,1667,,雅加达,3983
,南通,1572,,吉隆坡,3042
,青岛,1151,,金边,2047
,长沙,2250,长沙,新加坡,3138
,盐城,1450,,曼谷,2063
,厦门,2453,厦门,阿姆斯特丹,9312
长春,福州,2079,,巴黎,9645
,杭州,1598,,伦敦,9659
,济南,1067,,多哈,6630
,南通,1386,,悉尼,7377
,宁波,1617,,墨尔本,7456
,青岛,970,,登巴萨,3713
,厦门,2268,,雅加达,3627
,运城,1592,,新加坡,2990
沈阳,福州,1780,,吉隆坡,2993
,杭州,1297,,胡志明市,1947
,南京,1173,,金边,2020
,厦门,1962,,槟城,2865
,上海,1175,,曼谷,2184
,温州,1543,,河内市,1313
,长沙,1759,,马尼拉,1156
锦州,常州,1011,,东京都,2466
乌鲁木齐,济南,2620,,大阪,1981
,厦门,3510,,首尔,1638
,天津,2527,,纽约,12656
,武汉,2757,,温哥华,9817
,长沙,2878,,洛杉矶,11182
,银川,1696,泉州,宿务市,1708
,郑州,2483,,马尼拉,1170
北京,嘉峪关,1543,,吉隆坡,3045
,西宁,1299,福州,纽约,12476
,上海,1049,,阿姆斯特丹,9271
,杭州,1094,,泗水,3776
,福州,1539,,雅加达,2379
,武夷山,1320,,新加坡,3204
,三明,1460,,吉隆坡,3211
,泉州,1648,,金边,2239
,厦门,1670,,亚庇,2255
,龙炎,1537,,马尼拉,1276
,深圳,1891,,河内市,1503
,广州,1814,,首尔,1432
,长沙,1291,,东京都,2251
,海口,2248,,名古屋市,1915
,三亚,2451,,大阪,1765
,昆明,2034,南京,雅加达,4402
,重庆,1405,,吉隆坡,3687
,泸州,1535,,,
,成都,1492,,,
上海,天津,974,,,
,银川,1614,,,
杭州,台北,578,,,
,大连,975,,,
,天津,1027,,,
,呼和浩特,1411,,,
,青岛,682,,,
,太原,1101,,,
,洛阳,904,,,
,西安,1191,,,
,兰州,1706,,,
,泉州,629,,,
,厦门,671,,,
,深圳,1069,,,
,珠海,1152,,,
,广州,1036,,,
,海口,1519,,,
,三亚,1730,,,
,桂林,1164,,,
,柳州,1278,,,
,北海,1473,,,
,南宁,1484,,,
,贵阳,1392,,,
,遵义,1395,,,
,重庆,1328,,,
,南充,1366,,,
,成都,1534,,,
西安,固原,293,,,
,福州,1410,,,
,天津,924,,,
,泉州,1431,,,
,厦门,1424,,,
,长沙,813,,,
郑州,银川,787,,,
,呼和浩特,724,,,
,大连,843,,,
,福州,1104,,,
,泉州,1173,,,
,厦门,1183,,,
,西宁,1090,,,
武汉,银川,1099,,,
,固原,945,,,
,兰州,1167,,,
,南充,768,,,
,绵阳,903,,,
,泸州,863,,,
,福州,758,,,
,泉州,792,,,
,厦门,793,,,
成都,福州,1568,,,
,泉州,1521,,,
,厦门,1492,,,
,深圳,1262,,,
,长沙,882,,,
重庆,城关区,1521,,,
,深圳,1062,,,
,泉州,1299,,,
,厦门,1271,,,
,福州,1345,,,
,盐城,1347,,,
,运城,727,,,
,西宁,869,,,
长沙,大连,1421,,,
,青岛,1112,,,
,连云港,893,,,
,淮安,837,,,
,南京,671,,,
,南通,861,,,
,福州,684,,,
,泉州,653,,,
,厦门,634,,,
,泸州,761,,,
,南充,740,,,
,绵羊,892,,,
,西宁,1397,,,
,嘉峪关,1881,,,
,银川,1291,,,
,运城,795,,,
,延安,985,,,
,太原,1062,,,
,呼和浩特,1411,,,
,济南,1032,,,
厦门,大连,1633,,,
,盐城,1007,,,
,舟山,729,,,
,宁波,673,,,
,温州,462,,,
,高雄,314,,,
,台北,349,,,
,澳门,533,,,
,珠海,560,,,
,广州,505,,,
,海口,940,,,
,三亚,1136,,,
,南宁,1035,,,
,柳州,884,,,
,景洪,1794,,,
,桂林,818,,,
,昆明,1532,,,
,丽江,1806,,,
,衡阳,602,,,
,遵义,1230,,,
,淮安,1032,,,
,连云港,1101,,,
,青岛,1326,,,
,合肥,834,,,
,济南,1371,,,
,呼和浩特,1904,,,
,太原,1556,,,
,运城,1358,,,
,银川,1888,,,
,兰州,1918,,,
,西宁,2029,,,
,万州区,1180,,,
,南充,1365,,,
,绵阳,1518,,,
,泸州,1350,,,
泉州,海口,993,,,
,澳门,587,,,
,珠海,615,,,
,广州,558,,,
,南宁,1086,,,
,昆明,1576,,,
,贵阳,1196,,,
,遵义,1265,,,
,合肥,814,,,
,济南,1345,,,
,天津,1596,,,
,青岛,1292,,,
,南京,772,,,
,舟山,681,,,
,福州,166,,,
,厦门,53,,,
福州,高雄,378,,,
,台北,183,,,
,南通,694,,,
,无锡,621,,,
,常州,665,,,
,南京,649,,,
,青岛,1159,,,
,大连,1458,,,
,天津,1481,,,
,济南,1234,,,
,呼和浩特,1807,,,
,太原,1469,,,
,南阳,1036,,,
,银川,1854,,,
,兰州,1920,,,
,荆州,856,,,
,桂林,967,,,
,贵阳,1283,,,
,昆明,1679,,,
,景洪,1967,,,
,香港,708,,,
,广州,702,,,
,北海,1162,,,
,澳门,745,,,
,珠海,772,,,
,海口,1152,,,
,三亚,1352,,,
南京,运城,816,,,
,太原,875,,,
,大连,838,,,
