航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
北京,大连,441,北京,多伦多,10554
,鸡西,1323,,西雅图,8674
,哈尔滨,998,,蒂华纳,10237
,霍林郭勒,642,,东京都,2134
,海拉尔区,104,,大阪,1761
,满洲里,1056,,普吉市,3988
,乌鲁木齐,2429,,曼谷,3314
,榆林,631,,特拉维夫,7137
,兰州,1196,,莫斯科,5792
,上海,1098,,圣彼得堡,6053
,东营,343,,奥斯陆,6978
,临沂,581,,贝尔格莱德,7419
,杭州,1147,,布拉格,7456
,温州,1407,,柏林,7353
,台北,1722,,布鲁塞尔,7941
,福州,1596,,曼彻斯特,8087
,厦门,1732,,都柏林,8262
,芜湖宣城,1014,,爱丁堡,7931
,南昌,1247,,波士顿,10810
,武汉,1054,,海参崴,1339
,深圳,1955,大连,海参崴,1014
,长沙,1355,深圳,布鲁塞尔,9325
,广州,1880,,巴黎,9550
,琼海,2400,,米兰,9318
,海口,2313,,马德里,10466
,三亚,2515,,维也纳,8661
,榆林,631,,罗马,9246
,南宁,2097,,特拉维夫,7696
,贵阳,1754,,开罗,8071
,重庆,1463,,温哥华,10239
,昆明,2092,,奥克兰,9199
,西安,932,海口,莫斯科,7129
,成都,1543,,伦敦,9635
,兰州,1196,,迪拜市,5646
大连,呼和浩特,853,,阿布扎比,5728
,天津,362,,吉达,7340
,银川,1315,,东京都,3405
,石家庄,599,,首尔,2486
,太原,787,,奥克兰,9236
,东营,288,,悉尼,7377
,济南,444,,墨尔本,7342
,西安,1242,,雅加达,2926
,郑州,843,,新加坡,2181
,日照,441,,吉隆坡,2132
,徐州,650,,曼谷,1244
,合肥,877,,万象,856
,武汉,1127,,河内市,504
,长沙,1421,上海,布鲁塞尔,9020
,南昌,1236,西安,巴黎,8221
,宜春,1408,重庆,布鲁塞尔,8266
,杭州,975,,巴黎,8488
,宁波,1015,,马德里,9403
深圳,哈尔滨,2791,,西雅图,10132
,太原,1682,,罗马,8190
,榆林,1791,,米兰,8256
,郑州,1320,,吉隆坡,3042
,徐州,1320,,曼谷,1881
,日照,1514,成都,维也纳,7400
,南京,1127,长沙,伦敦,9048
,上海,1231,琼海,吉隆坡,2054
,杭州,1069,,苦盏,4522
,温州,917,,,
,西安,1400,,,
,兰州,1827,,,
,乌鲁木齐,3373,,,
,成都,1262,,,
,重庆,1062,,,
,贵阳,829,,,
,昆明,1138,,,
,海口,459,,,
,三亚,665,,,
海口,哈尔滨,3199,,,
,长春,3022,,,
,沈阳,2705,,,
,济南,1991,,,
,太原,1989,,,
,延安,1841,,,
,兰州,1959,,,
,西安,1621,,,
,陇南,1606,,,
,郑州,1654,,,
,合肥,1489,,,
,上海,1683,,,
,宁波,1559,,,
,杭州,1519,,,
,丽水,1334,,,
,温州,1378,,,
,福州,1152,,,
,泉州,993,,,
,厦门,940,,,
,汕头,742,,,
,广州,483,,,
,香港,444,,,
,澳门,407,,,
,珠海,380,,,
,南宁,380,,,
,桂林,587,,,
,柳州,486,,,
,贵阳,822,,,
,昆明,962,,,
,重庆,1152,,,
,成都,1302,,,
,武汉,1262,,,
,南昌,1135,,,
,九江,1189,,,
,长沙,959,,,
,荆州,1168,,,
,宜昌,1184,,,
呼和浩特,乌鲁木齐,2020,,,
,西宁,974,,,
,贵阳,1656,,,
,大连,853,,,
,徐州,908,,,
,南京,1191,,,
,南昌,1382,,,
,郑州,724,,,
天津,乌鲁木齐,2527,,,
,哈尔滨,1025,,,
,兰州,1238,,,
,南宁,2029,,,
,长沙,1273,,,
,宁波,1099,,,
济南,乌鲁木齐,2620,,,
,沈阳,756,,,
,大连,444,,,
,广州,1542,,,
,长沙,1032,,,
,三亚,2198,,,
,重庆,1260,,,
乌鲁木齐,喀什,1065,,,
,呼和浩特,2020,,,
,杭州,3264,,,
,广州,3275,,,
,重庆,2300,,,
,成都,2123,,,
,长沙,2878,,,
,武汉,2757,,,
,西安,2103,,,
,兰州,1592,,,
,南昌,3019,,,
,上海,3270,,,
,郑州,2483,,,
,济南,2620,,,
,石家庄,2351,,,
,太原,2213,,,
上海,西安,1271,,,
,成都,1659,,,
,三亚,1894,,,
,广州,1202,,,
西安,哈尔滨,1931,,,
,长春,1796,,,
,沈阳,1513,,,
,大连,1242,,,
,青岛,1048,,,
,南京,987,,,
,杭州,1191,,,
,福州,1410,,,
,汕头,1424,,,
,广州,1305,,,
,三亚,1794,,,
,贵阳,898,,,
,昆明,1178,,,
,西宁,649,,,
郑州,呼和浩特,724,,,
,哈尔滨,1619,,,
,大连,843,,,
,宁波,885,,,
,杭州,781,,,
,温州,990,,,
,广州,1238,,,
,三亚,1854,,,
